ticker,company_name,sector,rating_agency,rating,rating_numeric,fiscal_year,source,liquid,cumprof,profitab,leverage,total_assets,total_liabilities,total_equity,has_financials,rating_category
8060.SR,Malath Insurance,Insurance,Financial Analytics,A-,15,2024,argaam_oct2025,,0.024715935855312506,,0.6200146504209022,4765913000.0,2941895000.0,1824018000.0,True,A
8070.SR,Arabian Shield,Insurance,Fitch,A-,15,2024,argaam_oct2025,,0.06574996582296906,,0.8422855010316385,3613538000.0,1961443000.0,1652095000.0,True,A
8100.SR,SAICO,Insurance,Financial Analytics,A-,15,2024,argaam_oct2025,,0.0011703974464055715,,0.24129044815091458,1964290000.0,1582458000.0,381832000.0,True,A
8120.SR,Gulf Union Alahlia,Insurance,Fitch,BBB+,14,2024,argaam_oct2025,,0.030740604164444428,0.043466011478600755,1.1008654937580662,1195977828.0,569278629.0,626699199.0,True,BBB
4320.SR,Arabia Insurance,Insurance,S&P,A+,17,2024,argaam_oct2025,0.020369529752077505,0.03684076204750227,0.020990083801153775,1.0529501324426576,2260866724.0,1101276981.0,1159589743.0,True,A
8170.SR,Al-Etihad Insurance,Insurance,Fitch,A-,15,2024,argaam_oct2025,,0.07246150651735705,0.036970380105005085,0.8480941456874721,1550782000.0,839125000.0,711657000.0,True,A
8180.SR,Al Sagr Insurance,Insurance,Fitch,BBB,13,2024,argaam_oct2025,,0.03878947822356609,0.054721104850562426,1.1702009861744087,743509202.0,342599237.0,400909965.0,True,BBB
8180.SR,Al Sagr Insurance,Insurance,S&P,BBB,13,2024,argaam_oct2025,,0.03878947822356609,0.054721104850562426,1.1702009861744087,743509202.0,342599237.0,400909965.0,True,BBB
8190.SR,UCA,Insurance,S&P,A,16,2024,argaam_oct2025,,-0.2124879019512211,-0.011946517662879656,0.41134221181102243,920603000.0,652289000.0,268314000.0,True,A
8200.SR,Saudi Re,Insurance,Moodys,A-,15,2024,argaam_oct2025,,0.17121780374292578,,0.892284296198621,3418419523.0,1806504197.0,1611915326.0,True,A
8200.SR,Saudi Re,Insurance,S&P,A-,15,2024,argaam_oct2025,,0.17121780374292578,,0.892284296198621,3418419523.0,1806504197.0,1611915326.0,True,A
