ticker,fiscal_year,rating,liquid,cumprof,profitab,leverage,company_name,rating_agency,sentiment_mean,sentiment_std,sentiment_pos_pct,sentiment_neg_pct,news_count,GCKAM,REVKAM,ASSETKAM,LIABKAM,OTHERKAM,rating_category,sector
7204.SR,2024,BBB+,0.293666515,0.141228058,0.148406483,0.612667928,Perfect Presentation (2P),Tassnief,0.0,0.0,0.0,0.0,0,0,1,0,0,0,BBB,
7204.SR,2023,BBB+,0.206727347,0.174773437,0.147429696,0.479716636,Perfect Presentation (2P),Tassnief,0.4016107047597567,0.4790505626193499,0.8333333333333334,0.1666666666666666,6,0,1,0,0,0,BBB,
7204.SR,2022,BBB+,0.187076804,0.110157035,0.199906615,0.458093919,Perfect Presentation (2P),Tassnief,0.3990477127954364,0.360547454645418,1.0,0.0,6,0,1,0,0,0,BBB,
2081.SR,2024,A,0.162740479,0.153659852,0.123781319,0.483900536,Alkhorayef Water & Power,Tassnief,0.90938667456309,0.0328104123802067,1.0,0.0,3,0,1,0,0,0,A,
2081.SR,2023,A-,0.286558376,0.13852093,0.115475563,0.461673785,Alkhorayef Water & Power,Tassnief,0.6535755544900894,0.3466881543645438,1.0,0.0,3,0,1,1,0,0,A,
2222.SR,2023,A+,0.159600313,0.569615891,0.361692777,2.344734682,Saudi Aramco,Fitch,0.2752075220147769,0.1395972636702439,1.0,0.0,3,0,0,1,0,0,A,
2222.SR,2022,A,0.197416768,0.537478078,0.466056727,2.015231435,Saudi Aramco,Fitch,-0.0123520145813624,0.719116838759026,0.6666666666666666,0.3333333333333333,3,0,0,1,0,1,A,
1211.SR,2023,BBB+,0.129500375,0.086411766,0.042932937,1.031909884,Maaden,Fitch,0.523901799072822,0.3491835720605981,1.0,0.0,3,0,0,1,0,0,BBB,
2010.SR,2024,A+,0.165465714,0.07214108,0.025031391,1.954483739,SABIC,Fitch,0.3005461605886618,0.2853936781425335,0.6666666666666666,0.3333333333333333,3,0,0,1,0,1,A,
2010.SR,2023,A,0.162388341,0.095509532,0.023515128,1.970601984,SABIC,Fitch,0.5177251243342956,0.3728947310747473,1.0,0.0,3,0,0,1,0,0,A,
2010.SR,2022,A,0.187232877,0.10248427,0.08531532,2.278987803,SABIC,Fitch,0.9217986067136128,0.0098706096467859,1.0,0.0,3,0,0,1,0,1,A,
2010.SR,2021,A,0.178862277,0.087033281,0.112207231,1.970138566,SABIC,Fitch,0.3543281300614277,0.3197261205028618,1.0,0.0,3,0,0,1,0,1,A,
5110.SR,2021,A,-0.065599594,0.074800056,0.036775103,1.127047727,Saudi Energy,Fitch,0.0,0.0,0.0,0.0,0,0,1,1,0,0,A,
5110.SR,2022,A,-0.025113038,0.079839064,0.038280763,1.155643509,Saudi Energy,Fitch,0.0,0.0,0.0,0.0,0,0,1,1,0,0,A,
5110.SR,2023,A+,-0.047682137,0.075785766,0.029073281,1.048458103,Saudi Energy,Fitch,0.8028484384218851,0.0851243895853586,1.0,0.0,3,0,1,1,0,0,A,
5110.SR,2024,A+,-0.050828334,0.074804735,0.022115121,0.850255058,Saudi Energy,S&P,0.6074640949567159,0.183507997276302,1.0,0.0,3,0,1,1,0,0,A,
4321.SR,2022,BB,0.007805981,0.296172024,0.036506969,1.086777013,Cenomi Centers,Fitch,0.0999776062866052,0.0463159557159403,1.0,0.0,3,0,1,1,0,0,BB,
4321.SR,2023,BB,-0.091269007,0.296623023,0.059525483,1.064937268,Cenomi Centers,Fitch,0.162956953048706,0.7968798350618899,0.6666666666666666,0.3333333333333333,3,0,1,1,0,0,BB,
4321.SR,2024,A-,0.040454502,0.277854943,0.044563914,0.891938329,Cenomi Centers,Financial Analytics,0.1132062412798404,0.1335584589310758,0.6666666666666666,0.3333333333333333,3,0,1,1,0,0,A,
2082.SR,2024,BBB-,0.096245984,0.085655014,0.058315,0.746127315,ACWA Power,Fitch,0.5918710877497991,0.394243569923149,1.0,0.0,3,0,0,1,0,1,BBB,
2082.SR,2023,BBB-,0.115340157,0.059024001,0.059758302,0.603591934,ACWA Power,Fitch,0.8185038765271505,0.1281216592339606,1.0,0.0,3,0,0,1,0,1,BBB,
2082.SR,2022,BBB-,0.141395924,0.042600344,0.054740764,0.695007406,ACWA Power,Fitch,0.5977237820625305,0.3031296903534823,1.0,0.0,3,0,0,1,0,1,BBB,
2082.SR,2021,BBB-,0.100252932,0.028612191,0.041398379,0.456221891,ACWA Power,Fitch,0.49727746595939,0.2681783149765732,1.0,0.0,3,0,0,1,0,1,BBB,
2222.SR,2024,A+,0.097433189,0.553897253,0.327009486,2.138299181,Saudi Aramco,Fitch,0.5693510125080744,0.4431013692199861,0.6666666666666666,0.3333333333333333,3,0,0,1,0,0,A,
1211.SR,2024,BBB+,0.082299461,0.087391463,0.060389039,1.095080914,Maaden,Fitch,0.2971905221541722,0.0527868532935408,1.0,0.0,3,0,0,1,0,0,BBB,
2382.SR,2023,B+,-0.040760147,0.088636182,0.06615797,0.423354802,ADES,Fitch,0.3173393029719591,0.4001828128914632,1.0,0.0,3,0,1,1,0,0,BB,
2382.SR,2024,B+,0.009715753,0.113128488,0.0825025,0.433245734,ADES,Fitch,0.8280381361643473,0.0009335245966172,1.0,0.0,3,0,1,0,0,1,BB,
2280.SR,2024,BBB-,0.082814196,0.215755191,0.085511989,1.120064651,Almarai,Moodys,0.3059915906439225,0.4367032002972843,0.6666666666666666,0.3333333333333333,3,0,0,1,0,0,BBB,
2222.SR,2021,A,0.142143812,0.470914925,0.361392063,1.451968318,Saudi Aramco,Fitch,0.3407042175531387,0.3731288190995577,0.6666666666666666,0.3333333333333333,3,0,0,1,0,1,A,
1202.SR,2024,A-,0.239583939,0.07202462,-0.009545173,1.669193185,MEPCO (Middle East Paper),Financial Analytics,0.8993708690007528,0.025606150299344,1.0,0.0,3,0,0,1,0,0,A,
