ticker,company_name,sector,rating_agency,rating,fiscal_year,liquid,cumprof,profitab,leverage,dataset
2082.SR,ACWA Power,Utilities,Fitch,BBB-,2023,0.1153401574610228,0.0590240006264096,0.059758301572091,0.6035919344956632,historical_fitch
2082.SR,ACWA Power,Utilities,Fitch,BBB-,2024,0.096245983796903,0.0856550143729097,0.0583149999931437,0.7461273149897591,historical_fitch
2120.SR,Middle East Paper Company,,Tassnief,A,2024,0.3925853555160754,0.3540634422434639,0.2333080664708693,9.758068734776357,original_tassnief
2210.SR,Napco National,,Tassnief,BBB+,2024,-0.4946412162346583,0.0052496065069645,0.0441904051386096,0.2855216390041251,original_tassnief
2222.SR,Saudi Aramco,Energy,Fitch,A,2021,0.1421438116419829,0.4709149253938382,0.3613920626627024,1.4519683182505652,historical_fitch
2222.SR,Saudi Aramco,Energy,Fitch,A,2022,0.1974167684213397,0.5374780779518349,0.4660567269599875,2.0152314348367213,historical_fitch
2222.SR,Saudi Aramco,Energy,Fitch,A+,2023,0.1596003131633534,0.5696158906188205,0.3616927770648199,2.344734682417986,historical_fitch
2222.SR,Saudi Aramco,Energy,Fitch,A+,2024,0.0974331890593861,0.5538972532936133,0.327009485771343,2.1382991809912277,historical_fitch
2222.SR,Saudi Aramco,Energy,Moodys,AA-,2024,0.0974331890593861,0.5538972532936133,0.327009485771343,2.1382991809912277,expanded_multiagency
2280.SR,Almarai,Food & Beverages,Moodys,BBB-,2024,0.082814195697476,0.215755190907772,0.0855119888798795,1.1200646510770689,expanded_multiagency
2280.SR,Almarai,Food & Beverages,S&P,BBB-,2024,0.082814195697476,0.215755190907772,0.0855119888798795,1.1200646510770689,expanded_multiagency
2382.SR,ADES,Energy,Fitch,B+,2023,-0.0407601470710289,0.0886361824964221,0.0661579701677213,0.4233548018785618,historical_fitch
2382.SR,ADES,Energy,Fitch,B+,2024,0.0097157525490448,0.1131284881331231,0.0825025001514192,0.4332457341624706,historical_fitch
2382.SR,ADES,Energy,S&P,B+,2024,0.0097157525490448,0.1131284881331231,0.0825025001514192,0.4332457341624706,expanded_multiagency
3008.SR,Al Kathiri Holding,Materials,Financial Analytics,BBB-,2024,0.2780411373225696,-0.046543240807603,-0.0260658966959597,0.6415755178993517,expanded_multiagency
3008.SR,Al Kathiri Holding Company (AKHC),,Tassnief,BBB,2024,0.3442554681713606,0.0183509024383714,0.0217933323906302,0.7737110081103302,original_tassnief
4290.SR,Alkhaleej Training,Consumer Services,Financial Analytics,A-,2024,0.0255963690657133,-0.0128946179746185,0.0860367617468628,0.3609582967261378,expanded_multiagency
4290.SR,Alkhaleej Training,Consumer Services,Tassnief,BBB+,2024,0.0255963690657133,-0.0128946179746185,0.0860367617468628,0.3609582967261378,expanded_multiagency
4321.SR,Cenomi Centers,Real Estate,Fitch,BB,2021,0.0163573659135921,0.3078581406418724,0.0256657045647793,1.167074825100584,historical_fitch
4321.SR,Cenomi Centers,Real Estate,Fitch,BB,2022,0.0078059812649147,0.2961720244153838,0.0365069688387247,1.0867770132936718,historical_fitch
4321.SR,Cenomi Centers,Real Estate,Fitch,BB,2023,-0.0912690069043439,0.2966230230259127,0.0595254834677867,1.064937268149597,historical_fitch
4321.SR,Cenomi Centers,Real Estate,Financial Analytics,A-,2024,0.0404545015813662,0.2778549430822054,0.0445639139162926,0.891938328708021,expanded_multiagency
4321.SR,Cenomi Centers,Real Estate,Fitch,BB,2024,0.0404545015813662,0.2778549430822054,0.0445639139162926,0.891938328708021,historical_fitch
4321.SR,Cenomi Centers,Real Estate,S&P,BB-,2024,0.0404545015813662,0.2778549430822054,0.0445639139162926,0.891938328708021,expanded_multiagency
5110.SR,Saudi Electricity,Utilities,Fitch,A,2021,-0.0655995936378185,0.0748000558133532,0.0367751031541944,1.1270477272268573,historical_fitch
5110.SR,Saudi Electricity,Utilities,Fitch,A,2022,-0.0251130379293687,0.0798390639175728,0.0382807629113793,1.1556435085980803,historical_fitch
5110.SR,Saudi Electricity,Utilities,Fitch,A+,2023,-0.0476821369441999,0.0757857656478264,0.0290732809453425,1.0484581028565396,historical_fitch
5110.SR,Saudi Electricity,Utilities,Fitch,A+,2024,-0.0508283335686592,0.0748047347608091,0.022115121164303,0.8502550575355645,historical_fitch
5110.SR,Saudi Electricity,Utilities,Moodys,AA-,2024,-0.0508283335686592,0.0748047347608091,0.022115121164303,0.8502550575355645,expanded_multiagency
5110.SR,Saudi Electricity,Utilities,S&P,A+,2024,-0.0508283335686592,0.0748047347608091,0.022115121164303,0.8502550575355645,expanded_multiagency
7010.SR,Saudi Telecom (STC),Telecom,Fitch,A+,2024,0.2104784602745314,0.2393533147354672,0.0832188778477101,1.3570190120196448,expanded_multiagency
7010.SR,Saudi Telecom (STC),Telecom,Moodys,AA-,2024,0.2104784602745314,0.2393533147354672,0.0832188778477101,1.3570190120196448,expanded_multiagency
7010.SR,Saudi Telecom (STC),Telecom,S&P,A+,2024,0.2104784602745314,0.2393533147354672,0.0832188778477101,1.3570190120196448,expanded_multiagency
7010.SR,Saudi Telecom (STC),Telecom,Tassnief,AAA,2024,0.2104784602745314,0.2393533147354672,0.0832188778477101,1.3570190120196448,expanded_multiagency
7020.SR,Mobily,Telecom,Financial Analytics,AA,2024,-0.0237692154864849,0.2907478348451415,0.0983919835135521,0.9610966369062894,expanded_multiagency
7020.SR,Etihad Etisalat Company,,Tassnief,AA,2024,-0.0237692154864849,0.2907478348451415,0.0983919835135521,0.9610966369062894,original_tassnief
