ticker,company_name,rating_date,rating,outlook,rating_type,is_solicited,rating_basis,fiscal_year_applicable,source_url,pdf_link,rating_action
4290.SR,Alkhaleej Training & Education Company,15/09/2025,BBB+,Stable,Credit Rating,yes,full,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/12/Alkhaleej-Training-Rating-Summary-Report-website-announcement-EN.pdf,Maintained
9619.SR,Multi Business Group for Projects Company,15/09/2025,BB+,,Credit Rating,yes,full,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/10/Withdrawal-Multi-Business-Group-005.pdf,Withdraw
7030.SR,Mobile Telecommunication Company Saudi Arabia (Zain Saudi Arabia),15/09/2025,A,,Credit Rating,no,pi,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/10/Zain-Unsolicited-Public-Rating-Summary-2025.pdf,Maintain
7020.SR,Etihad Etisalat Company (Mobily),15/09/2025,AA,,Credit Rating,no,pi,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/10/Mobily-Final-Public-Rating-Summary-2025-Unsolicited.pdf,Maintain
4321.SR,Arabian Centers Company,15/06/2025,A,Stable,Credit Rating,yes,full,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/08/cenomi-final-public-report-2025.pdf,Initial
9511.SR,Sumou Real Estate Company,15/04/2025,BBB+,Stable,Credit Rating,yes,full,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/08/Rating-Rationale-SumouFor-Tassnief-Website.pdf,Maintain
9578.SR,Atlas Elevators Company for General Trading and Contracting (Unsolicited Rating),15/03/2025,BB,Stable,Credit Rating,yes,full,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/10/Atlas-Elevators-Press-Release-2025-updated.pdf,Newly Assigned
9568.SR,Mayar Holding Company (Unsolicited Rating),15/03/2025,BB,Stable,Credit Rating,yes,full,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/10/Mayar-Holdings-Press-Release-2025-updated.pdf,Newly Assigned
8050.SR,Saudi Arabian Cooperative Insurance Co.,15/03/2025,A,Stable,Credit Rating,yes,full,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/08/ifs-rating-report-saico-public-report-1.pdf,Assigned
8060.SR,Malath Cooperative Insurance Company (Malath),15/03/2025,A,Stable,Credit Rating,yes,full,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/08/ifs-rating-report-malath-public-report.pdf,Assigned
9596.SR,Quara Finance Company,15/11/2024,BBB,Stable,Credit Rating,yes,full,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/public-report-quara-finance.pdf,Maintain
7010.SR,Saudi Telecom Company,15/10/2024,AAA,Stable,Credit Rating,yes,full,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/public-report-stc2024.pdf,Maintain
2070.SR,Perfect Presentation Commercial Services Company,15/10/2024,BBB+,Stable,Credit Rating,yes,full,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/public-report-2p-for-tassnief-website.pdf,Maintain
2120.SR,Middle East Paper Company,15/10/2024,A,Stable,Credit Rating,yes,full,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/mepco-public-report.pdf,Assigned
2081.SR,Alkhorayef for Water and Power Technologies Company,15/09/2024,A,Stable,Credit Rating,yes,full,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/public-report-alkhoraef-2024.pdf,Maintain
9619.SR,Multi Business Group for Projects Company,15/09/2024,BB+,Stable,Credit Rating,yes,full,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/multi-business-group-public-report.pdf,Assigned
9535.SR,Ladun Investment Company,15/09/2024,BBB+,Stable,Credit Rating,yes,full,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/public-report-ladun-for-tassnief-website2024.pdf,Maintain
4290.SR,AlKhaleej Training & Education,15/09/2024,BBB+,Stable,Credit Rating,yes,full,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/public-report-alkhaleef-trng-for-tassnief-website.pdf,Maintain
2210.SR,Napco National,15/08/2024,BBB+,,Credit Rating,yes,full,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/withdrawal-press-release-napco.pdf,Withdraw
7030.SR,Mobile Telecommunications Company Saudi Arabia,15/08/2024,A,,Credit Rating,yes,pi,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/unsolicited-zain-pr2024.pdf,Maintain
7020.SR,Etihad Etisalat Company,15/08/2024,AA,,Credit Rating,yes,pi,2024,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/unsolicited-mobily-pr2024.pdf,Maintain
9511.SR,Sumou Real Estate Company,15/12/2023,BBB+,Stable,Credit Rating,yes,full,2023,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/sumou-public-report-2023.pdf,Maintain
3008.SR,Al Kathiri Holding Company (AKHC),15/11/2023,BBB,,Credit Rating,yes,full,2023,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/withdrawal-press-release-al-kathiri-november-2023.pdf,Withdraw
9596.SR,Quara Finance Company,15/11/2023,BBB,Stable,Credit Rating,yes,full,2023,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/final-public-report-quara-finance.pdf,Assigned
2070.SR,Perfect Presentation Commercial Services Company,15/11/2023,BBB+,Stable,Credit Rating,yes,full,2023,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/rating-rationale-2p-2023-for-tassnief-website.pdf,Maintain
7010.SR,Saudi Telecom Company,15/09/2023,AAA,Stable,Credit Rating,yes,full,2023,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/public-report-available-on-tassnief-webiste.pdf,Maintain
2081.SR,Alkhorayef for Water and Power Technologies Company,15/09/2023,A,Stable,Credit Rating,yes,full,2023,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/public-report-alkhoraef.pdf,Assigned
2210.SR,Napco National,15/08/2023,BBB+,Stable,Credit Rating,yes,full,2023,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/public-report-napco.pdf,Assigned
7020.SR,Etihad Etisalat Company,15/08/2023,AA,,Credit Rating,yes,pi,2023,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/unsolicited-mobily-pr2023.pdf,Assigned
7030.SR,Mobile Telecommunications Company Saudi Arabia,15/08/2023,A,,Credit Rating,yes,pi,2023,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/unsolicited-zain-pr2023.pdf,Assigned
4290.SR,AlKhaleej Training & Education,15/06/2023,BBB+,Stable,Credit Rating,yes,full,2023,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/rating-rationale-alkhaleej-trng-for-tassnief-website.pdf,Assigned
9535.SR,Ladun Investment Company,15/02/2023,BBB+,Stable,Credit Rating,yes,full,2022,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/public-report-ladun-for-tassnief-website.pdf,Assigned
8200.SR,Cooperative Reinsurance Company (Saudi Re),15/01/2023,AA+,,Credit Rating,yes,full,2022,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/withdrawal-press-release-saudi-re-january-2023.pdf,Withdraw
3008.SR,Al Kathiri Holding Company (AKHC),15/11/2022,BBB,Stable,Credit Rating,yes,full,2022,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/rating-rationale-al-kahtiri-holding-2022-website.pdf,Maintain
9511.SR,Sumou Real Estate Company,15/10/2022,BBB+,Stable,Credit Rating,yes,full,2022,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/rating-rationale-sumoufor-tassnief-website.pdf,Assigned
2070.SR,Perfect Presentation Commercial Services Company,15/10/2022,BBB+,Stable,Credit Rating,yes,full,2022,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/rating-rationale-2p-2022-for-tassnief-website.pdf,Upgraded
7010.SR,Saudi Telecom Company,15/10/2022,AAA,Stable,Credit Rating,yes,full,2022,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/rating-rationale-stc-2022-for-tassnief-website-and-tadawul.pdf,Maintain
8200.SR,Cooperative Reinsurance Company (Saudi Re),15/11/2021,AA+,Stable,Credit Rating,yes,full,2021,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/rating-rationale-saudi-re-2021.pdf,Maintain
3008.SR,Al Kathiri Holding Company (AKHC),15/10/2021,BBB,Stable,Credit Rating,yes,full,2021,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/al-kathiri_rating-rationale-2021.pdf,Assigned
7010.SR,Saudi Telecom Company,15/09/2021,AAA,Stable,Credit Rating,yes,full,2021,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/01/rating-rationale-stc-2021.pdf,Maintain
